name,census,pop2011,pop2012,pop2013,pop2014,pop2015
Alabama,4779736,4801108,4816089,4830533,4846411,4858979
Alaska,710231,722720,731228,737442,737046,738432
Arizona,6392017,6468732,6553262,6630799,6728783,6828065
Arkansas,2915918,2938538,2949499,2957957,2966835,2978204
California,37253956,37700034,38056055,38414128,38792291,39144818
Colorado,5029196,5119480,5191731,5271132,5355588,5456574
Connecticut,3574097,3589759,3593541,3597168,3594762,3590886
Delaware,897934,907916,917099,925353,935968,945934
District of Columbia,601723,620472,635342,649540,659836,672228
Florida,18801310,19105533,19352021,19594467,19905569,20271272
Georgia,9687653,9812280,9917639,9991562,10097132,10214860
Hawaii,1360301,1378227,1392641,1408765,1420257,1431603
Idaho,1567582,1584134,1596097,1612785,1634806,1654930
Illinois,12830632,12861882,12875167,12889580,12882189,12859995
Indiana,6483802,6516845,6538283,6570518,6597880,6619680
Iowa,3046355,3065389,3076636,3092224,3109481,3123899
Kansas,2853118,2869917,2886281,2894630,2902507,2911641
Kentucky,4339367,4367882,4382667,4398500,4412617,4425092
Louisiana,4533372,4575381,4603676,4627491,4648990,4670724
Maine,1328361,1328257,1328888,1328778,1330256,1329328
Maryland,5773552,5844171,5890740,5936040,5975346,6006401
Massachusetts,6547629,6611797,6657780,6708810,6755124,6794422
Michigan,9883640,9876589,9886879,9900506,9916306,9922576
Minnesota,5303925,5348119,5380443,5420541,5457125,5489594
Mississippi,2967297,2977999,2985660,2990976,2993443,2992333
Missouri,5988927,6010587,6025468,6043708,6063827,6083672
Montana,989415,997746,1005157,1014402,1023252,1032949
Nebraska,1826341,1842383,1855973,1869300,1882980,1896190
Nevada,2700551,2718819,2754874,2790366,2838281,2890845
New Hampshire,1316470,1318344,1321393,1322660,1327996,1330608
New Jersey,8791894,8842934,8874893,8907384,8938844,8958013
New Mexico,2059179,2078226,2084792,2086890,2085567,2085109
New York,19378102,19523202,19606981,19691032,19748858,19795791
North Carolina,9535483,9651025,9747021,9845432,9940387,10042802
North Dakota,672591,685326,702265,723626,740040,756927
Ohio,11536504,11545442,11551783,11572232,11596998,11613423
Oklahoma,3751351,3786626,3817679,3853405,3879610,3911338
Oregon,3831074,3868509,3899444,3928030,3971202,4028977
Pennsylvania,12702379,12745202,12772789,12783536,12793767,12802503
Rhode Island,1052567,1051856,1052393,1052856,1054907,1056298
South Carolina,4625364,4672733,4721341,4768498,4829160,4896146
South Dakota,814180,824289,834631,845270,853304,858469
Tennessee,6346105,6398408,6455469,6496130,6547779,6600299
Texas,25145561,25654464,26089741,26500674,26979078,27469114
Utah,2763885,2816440,2856343,2903685,2944498,2995919
Vermont,625741,626687,626398,627129,626767,626042
Virginia,8001024,8110783,8193374,8267875,8328098,8382993
Washington,6724540,6823229,6897292,6973281,7063166,7170351
West Virginia,1852994,1854948,1856283,1852985,1848751,1844128
Wisconsin,5686986,5709720,5726422,5743653,5759432,5771337
Wyoming,563626,567768,577080,583131,584304,586107